DOMAIN,STATE,ZIPCODE,TIME1,TIME2,VIS1,VIS2,XRN1,XRN2,XRN3,XRN4,XRN5,VAR1,VAR2,VAR3,VAR4,VAR5,TRN_AMT,TOTAL_TRN_AMT,TRN_TYPE
ZRYOMUTVNH.COM,KR,107,17,17,0,0,1,1,1,0,1,2,0,50.352,10,3,10.36,10.36,LEGIT
UBHJVMZP.NET,KR,123,11,11,0,0,1,1,0,0,1,3,1,-50.072,20,0,10.36,10.36,LEGIT
XOSOP.COM,LO,398,18,18,0,0,1,0,1,0,1,3,0,5.92,10,0,12.95,12.95,LEGIT
MOK.RR.COM,KR,112,19,19,1,0,1,1,1,0,2,3,0,-32.576,9,0,38.85,38.85,LEGIT
VRQOSOV.EDU,KR,117,17,17,0,0,1,1,0,0,1,3,0,20.264,7,0,12.95,12.95,LEGIT
BBWGQAVKYF.COM,CR,428,14,14,1,0,0,0,0,0,1,3,1,53.768,22,0,38.85,38.85,LEGIT
QZUOLQTLLL.COM,MO,685,2,2,0,0,1,1,1,0,1,2,0,23.904,23,0,12.95,12.95,LEGIT
ARQD.SOUTHCOM.MIL,MO,685,22,22,0,0,1,0,0,0,1,1,0,8.784,35,0,10.36,10.36,LEGIT
WAJCTHFVP.NET,PO,614,7,7,0,0,0,1,1,0,1,3,1,20.16,22,0,38.85,38.85,LEGIT
TMA.COM,KR,108,16,16,0,0,0,1,1,0,1,3,1,-28.32,9,0,10.36,10.36,LEGIT
BWT.NET,MO,685,14,14,0,0,1,0,0,0,1,3,0,21.872,6,0,38.85,38.85,LEGIT
XOSOP.COM,KR,114,13,13,1,0,1,1,1,0,1,3,1,44.28,16,2,38.85,38.85,LEGIT
XOSOP.COM,VO,602,10,10,0,0,1,1,0,0,1,3,0,-5.352,12,0,10.36,10.36,LEGIT
XOSOP.COM,KR,122,16,16,0,0,0,1,1,0,1,4,1,26.416,12,0,12.95,12.95,LEGIT
BB.COM,KR,120,14,14,0,0,0,1,1,0,1,2,1,-64.584,18,1,38.85,38.85,LEGIT
XDJYCO.COM,KR,120,10,10,1,0,1,0,0,0,1,0,0,1,23,0,12.95,12.95,LEGIT
TMA.COM,MO,685,13,13,0,0,1,0,1,0,1,0,0,14.848,8,0,12.95,12.95,LEGIT
ZPGLBKZTJFPOXO.COM,AO,675,20,20,1,0,0,0,1,0,1,1,0,-19.424,23,0,38.85,38.85,LEGIT
LMECE.BBB,NAO,166,17,17,0,0,0,0,0,0,1,2,1,-40.248,9,1,38.85,38.85,LEGIT
XZXDQOGHY.NET,KR,124,22,22,0,0,0,1,0,0,2,2,0,17.96,22,0,49.95,49.95,LEGIT
PGSEQQPW.NET,KR,108,9,9,0,0,1,1,1,0,2,0,0,12.648,12,2,38.85,38.85,LEGIT
AQ.NETCOM.COM,PO,614,9,9,0,0,1,1,0,0,1,3,0,-38.96,7,0,12.95,12.95,LEGIT
FVKLWZS.COM,RONO,362,16,16,0,0,1,1,0,0,1,2,0,5.232,7,0,38.85,38.85,LEGIT
XMROGFL.COM,ROK,655,19,19,0,0,1,1,0,0,1,0,0,-7.976,6,0,38.85,38.85,LEGIT
ZOCJO.COM,KR,119,1,1,0,0,0,0,0,0,1,3,0,36.824,19,0,31.08,31.08,LEGIT
BWT.NET,PO,614,20,19,0,0,0,1,1,0,1,3,1,-49.872,15,1,12.95,12.95,LEGIT
WAJCTHFVP.NET,PO,614,15,15,0,0,0,0,0,0,2,4,0,30.896,6,0,34.95,34.95,LEGIT
VCWGQDR.NET,ROK,655,20,20,0,0,1,1,1,0,1,3,0,16.32,9,9,38.85,38.85,LEGIT
SVHIIYTNB.COM,LM,127,10,10,0,0,1,1,1,0,1,2,1,22.072,27,0,11.01,11.01,LEGIT
WAJCTHFVP.NET,TO,625,14,14,0,0,0,1,1,0,1,3,1,-15.296,21,0,12.95,12.95,LEGIT
VUHZRNB.COM,KR,124,3,3,0,0,0,1,1,0,1,2,1,-9.832,26,0,12.95,12.95,LEGIT
TMA.COM,KR,115,0,0,1,0,1,1,0,0,2,3,1,16.816,7,0,12.95,12.95,LEGIT
VUHZRNB.COM,KR,107,18,18,0,0,0,1,0,0,1,1,1,18.424,7,0,49.95,49.95,LEGIT
XOSOP.COM,KR,110,17,17,0,0,1,0,0,0,2,3,0,-33.384,9,0,49.95,49.95,LEGIT
VCWGQDR.NET,ROK,655,13,13,0,0,0,1,0,0,1,0,0,34.872,23,0,49.95,49.95,LEGIT
VUHZRNB.COM,BO,308,10,10,0,0,1,1,0,0,1,2,0,19.456,8,1,10.36,10.36,LEGIT
CQP.RR.COM,MO,685,12,12,0,0,0,1,1,0,1,3,0,-49.304,21,0,12.95,12.95,LEGIT
TMA.COM,VO,600,14,13,0,0,0,0,0,0,1,2,1,-41.848,15,0,59.4,59.4,LEGIT
VUHZRNB.COM,ROI,386,16,16,0,0,0,0,0,0,1,2,1,38.12,23,0,11.65,11.65,LEGIT
VUHZRNB.COM,JAO,679,19,19,0,0,0,0,0,0,1,3,0,45.376,19,3,12.95,12.95,FRAUD
QIJUMFHOGHMXFNI.ORG,ROT,420,14,14,0,0,1,1,0,0,1,3,0,19.808,12,0,38.85,38.85,LEGIT
TMA.COM,LO,398,11,11,0,0,1,0,0,0,1,2,0,-28.208,10,0,12.95,12.95,LEGIT
BRZWCURTY.NET,KR,105,18,18,0,0,1,1,1,0,1,3,0,-6.808,21,0,49.95,49.95,LEGIT
SJUOJWQ.SATYAM,CO,672,16,15,0,0,0,0,0,0,1,3,0,18.608,36,0,12.95,12.95,LEGIT
TMA.COM,MO,685,9,9,0,0,0,1,0,0,1,2,1,-20.44,10,2,38.85,38.85,LEGIT
BRZWCURTY.NET,KR,109,14,14,0,0,1,0,0,0,1,3,1,4.848,8,0,38.85,38.85,LEGIT
XOSOP.COM,MO,685,9,9,0,0,1,0,0,0,1,3,0,44.856,9,4,38.85,38.85,LEGIT
XOSOP.COM,MO,685,10,10,1,0,0,0,0,0,2,3,1,9.984,8,0,38.85,38.85,LEGIT
VUHZRNB.COM,ROI,386,22,22,0,0,0,0,0,0,1,0,0,-7.424,25,0,12.95,12.95,LEGIT
VUHZRNB.COM,KR,112,12,12,0,0,1,0,0,0,1,0,0,-6.4,9,1,38.85,38.85,LEGIT
TMA.COM,SO,693,12,12,0,0,1,1,0,0,1,3,1,21.176,6,0,38.85,38.85,LEGIT
YOULALUUQORWKB.COM,CO,672,14,14,0,0,1,1,1,0,2,0,1,-30.056,8,0,38.85,38.85,LEGIT
TMA.COM,ROM,430,13,13,0,0,0,1,0,0,1,0,0,-13.616,10,1,49.95,49.95,LEGIT
JQKHOGWT.COM,MO,685,12,12,0,0,1,0,1,0,1,0,1,-0.944,9,0,25.9,25.9,LEGIT
XOSOP.COM,SK,355,16,16,0,0,1,0,1,0,1,3,1,-5.224,8,0,12.95,12.95,LEGIT
VCWGQDR.NET,CR,428,14,14,0,0,1,1,1,0,1,2,1,47.352,8,8,25.9,25.9,LEGIT
XXG.COM,LM,128,16,16,0,0,1,1,0,0,1,2,0,21.304,6,0,12.95,12.95,LEGIT
BRZWCURTY.NET,VO,602,7,7,0,0,1,0,0,0,1,2,0,-86.032,19,1,12.95,12.95,LEGIT
TMA.COM,MO,685,9,9,0,0,0,1,1,0,4,1,1,-68.808,13,0,38.85,38.85,LEGIT
XOSOP.COM,ROK,655,14,14,0,0,0,1,1,0,1,2,0,16.392,17,0,12.95,12.95,LEGIT
TMA.COM,SO,693,8,8,1,0,1,1,0,0,1,3,1,29.88,9,4,12.95,12.95,LEGIT
XDMEEIVCZAJF.COM,KR,102,18,18,0,0,0,0,0,0,1,3,1,-1.248,25,0,49.95,49.95,LEGIT
XOSOP.COM,TO,625,11,11,1,0,0,0,0,0,1,3,1,39.24,7,0,38.85,38.85,LEGIT
UFDGMEHMORH.COM,AO,675,9,9,0,0,1,0,0,0,2,3,1,-58.632,27,0,38.85,38.85,LEGIT
TMA.COM,KR,113,16,16,0,0,1,1,0,0,1,3,0,-59.272,14,0,10.36,10.36,LEGIT
TMA.COM,AO,675,10,10,0,0,0,0,1,0,1,3,1,-60.632,13,0,31.08,31.08,LEGIT
WBEJI.COM,NAO,166,7,7,0,0,1,1,1,0,1,3,0,2.688,21,0,38.85,38.85,LEGIT
NEKSXUK.NET,SK,355,18,18,0,0,0,0,0,0,1,3,1,-26.864,17,0,38.85,38.85,LEGIT
VUHZRNB.COM,ROK,655,22,22,0,0,1,1,0,0,1,0,0,3.496,10,0,11.01,11.01,LEGIT
BWT.NET,JAO,679,3,3,0,0,1,1,0,0,1,3,0,7.824,6,0,12.95,12.95,LEGIT
VUHZRNB.COM,NAO,166,18,18,0,0,1,0,0,0,3,3,0,40.128,7,1,12.95,12.95,LEGIT
XOSOP.COM,ROK,655,14,14,0,0,0,1,1,0,1,2,1,42.8,24,0,12.95,12.95,LEGIT
XOSOP.COM,KO,650,16,16,0,0,0,0,0,0,1,3,0,15.632,20,4,12.95,12.95,LEGIT
GLHKWIFSMIKZBYSEOE.COM,PO,614,17,17,0,0,0,1,1,0,1,3,1,-34.392,6,6,10.36,10.36,LEGIT
TMA.COM,TO,625,22,22,0,0,0,1,1,0,1,0,0,-26.144,18,2,38.85,38.85,LEGIT
BWT.NET,KR,103,12,12,0,0,1,1,0,0,1,2,1,16.424,19,0,38.85,38.85,LEGIT
TGRXNMB.NET,SO,693,11,11,0,0,0,1,1,0,1,2,0,-43.352,17,0,12.95,12.95,LEGIT
SMHGU.GOV,LO,398,14,14,0,0,1,1,1,0,2,3,0,9.216,7,0,12.95,12.95,LEGIT
VUHZRNB.COM,AR,649,10,10,0,0,1,1,0,0,2,3,1,-43.096,15,0,12.95,12.95,LEGIT
VUHZRNB.COM,ROK,655,22,22,0,0,1,1,1,0,2,1,0,32.976,10,2,31.08,31.08,LEGIT
ZUB.NET,CO,672,12,12,1,0,0,0,0,0,1,1,1,18.84,14,0,38.85,38.85,LEGIT
UGGLH.COM,MO,685,18,18,0,0,1,1,1,0,1,3,0,-25.296,8,0,49.95,49.95,LEGIT
NAHPRXE.COM,LO,398,6,6,0,0,1,0,0,0,1,3,1,-40.416,10,4,12.95,12.95,LEGIT
TMA.COM,ROK,655,15,15,0,0,0,0,0,0,1,0,1,49.464,16,2,12.95,12.95,LEGIT
TMA.COM,NO,630,19,19,0,0,1,1,0,0,1,2,0,14.416,9,0,38.85,38.85,LEGIT
TMA.COM,LM,128,10,10,0,0,1,1,0,0,2,3,1,21.552,9,0,38.85,38.85,LEGIT
TMA.COM,RONO,362,20,20,0,0,0,1,1,0,2,3,0,51.632,17,3,38.85,38.85,LEGIT
BRZWCURTY.NET,VO,601,13,13,1,0,0,0,1,0,2,0,0,-16.336,28,0,38.85,38.85,LEGIT
ZZJRYH.JNJ,KR,107,21,21,0,0,1,1,0,0,3,3,0,6.336,9,1,38.85,38.85,LEGIT
XOSOP.COM,NAO,166,14,14,1,0,0,1,1,0,1,2,0,-17.36,20,0,49.95,49.95,LEGIT
XOSOP.COM,PO,614,18,18,0,0,1,0,0,0,1,3,1,45.464,22,0,12.95,12.95,LEGIT
XZXDQOGHY.NET,KR,109,19,19,0,0,0,0,0,0,1,3,0,-38.728,24,0,12.95,12.95,LEGIT
VUHZRNB.COM,NAO,166,9,9,0,0,1,1,0,0,1,3,1,16.816,10,0,12.95,12.95,LEGIT
NEKSXUK.NET,BO,308,13,13,0,0,1,0,0,0,1,3,1,29.648,25,4,59.4,59.4,LEGIT
TMA.COM,ROI,386,12,12,0,0,0,0,0,0,1,2,1,39.344,14,3,12.95,12.95,LEGIT
TMA.COM,LM,127,10,10,0,0,0,1,0,0,1,3,0,44.048,16,3,12.95,12.95,LEGIT
NEKSXUK.NET,VO,601,20,20,0,0,0,0,0,0,1,3,0,7.392,8,0,49.95,49.95,LEGIT
VUHZRNB.COM,LM,127,14,14,0,0,1,1,0,0,1,3,0,40.632,20,3,12.95,12.95,LEGIT
AYHPGDK.NAVY,AO,675,16,16,0,0,0,1,0,0,1,3,1,45.248,27,0,38.85,38.85,LEGIT
BWT.NET,KR,105,18,18,0,0,1,0,0,0,2,3,0,-27.76,6,0,38.85,38.85,LEGIT
VUHZRNB.COM,ROK,655,20,20,0,0,1,0,0,0,1,2,0,47.272,8,3,12.95,12.95,LEGIT
NEKSXUK.NET,KR,121,5,5,0,0,0,0,1,0,1,3,1,-11.576,19,0,38.85,38.85,LEGIT
LWJSHRDK.NET,NO,630,17,17,0,0,0,0,1,0,1,2,0,46.928,19,0,12.95,12.95,LEGIT
TMA.COM,MO,685,16,16,0,0,0,1,0,0,1,3,0,17.704,19,0,12.95,12.95,LEGIT
VBJ.EDU,ROM,430,8,8,0,0,0,0,0,0,1,2,0,53.28,15,2,38.85,38.85,LEGIT
YYWK.EDU,MO,685,20,20,0,0,0,1,0,0,1,2,1,52.2,15,4,31.08,31.08,LEGIT
XOSOP.COM,",O",634,20,20,0,0,1,1,0,0,1,3,1,-38.688,6,0,38.85,38.85,LEGIT
TUTYMZ.COM,BO,308,15,15,0,0,1,0,0,0,1,3,0,12.128,13,0,38.85,38.85,LEGIT
VUHZRNB.COM,PO,614,10,10,0,0,0,0,0,0,1,3,0,31.704,25,0,38.85,38.85,LEGIT
XOSOP.COM,KR,105,0,0,0,0,0,0,0,0,1,3,1,21.728,21,0,12.95,12.95,LEGIT
XJV.COM,IO,664,3,3,0,0,0,0,0,0,1,3,1,12.4,18,0,49.95,49.95,LEGIT
XOSOP.COM,KR,108,8,8,0,0,0,1,1,0,1,3,1,-35.448,7,0,49.95,49.95,LEGIT
VPEZPOLJ.COM,SK,356,10,10,0,0,0,0,0,0,1,3,0,-17.352,19,0,12.95,12.95,LEGIT
TCN.COM,LM,127,19,19,0,0,1,0,0,0,2,3,0,10.632,9,1,25.9,25.9,LEGIT
XOSOP.COM,MO,685,11,11,0,0,1,1,0,0,1,2,1,11.72,12,0,38.85,38.85,LEGIT
NPRVIC.K12,KR,105,1,1,1,0,1,1,1,0,1,2,0,23.536,9,9,12.95,12.95,LEGIT
XCURQAMNYOGWPE.COM,KR,119,16,16,0,0,0,0,0,0,1,3,0,5.696,22,0,49.95,49.95,LEGIT
ABVBEPYBNUVGC.COM,IO,664,22,22,0,0,1,1,0,0,2,2,0,-10.088,9,9,31.08,31.08,LEGIT
TCN.COM,KR,119,17,17,0,0,1,0,0,0,1,2,1,-2.808,6,0,12.95,12.95,LEGIT
XOSOP.COM,RONO,362,18,18,0,0,1,1,1,0,3,3,1,-0.6,9,0,11.01,11.01,LEGIT
TMA.COM,TO,625,13,13,0,0,0,1,0,0,1,3,0,23.68,20,1,11.65,11.65,LEGIT
TMA.COM,ROB,452,11,11,0,0,1,1,0,0,1,3,1,-30.464,8,0,38.85,38.85,LEGIT
XOSOP.COM,AR,649,20,20,0,0,0,1,0,0,1,3,1,37.84,9,2,49.95,49.95,LEGIT
TMA.COM,MV,369,14,14,0,0,1,1,1,0,1,2,1,40.4,9,0,11.01,11.01,FRAUD
NZKDBYCVE.COM,VO,601,7,7,0,0,1,0,0,0,2,3,0,35.816,8,0,12.95,12.95,LEGIT
TIHRKPPW.NET,CO,672,18,18,0,0,1,1,1,0,2,3,0,28.16,24,4,12.95,12.95,LEGIT
TMA.COM,LM,127,18,18,0,0,0,0,0,0,1,3,0,-60.352,19,2,12.95,12.95,LEGIT
IMDYDCPLHILGMHPG.COM,BO,308,11,11,0,0,1,1,0,0,1,3,1,15.344,32,0,38.85,38.85,LEGIT
TCN.COM,NO,630,16,16,0,0,1,1,0,0,1,3,0,-2.976,9,1,12.95,12.95,LEGIT
QGFALMCP.RR.COM,MO,685,8,8,0,0,0,1,1,0,1,3,0,-5.88,22,0,49.95,49.95,LEGIT
VUHZRNB.COM,KR,103,1,1,1,0,0,1,1,0,1,3,1,36.304,20,0,38.85,38.85,LEGIT
TMA.COM,MO,685,10,10,0,0,1,1,1,0,2,0,1,22.144,8,2,12.95,12.95,LEGIT
VUHZRNB.COM,KR,108,2,2,0,0,0,1,1,0,1,3,0,11.288,11,0,12.95,12.95,LEGIT
WVSPCPWUP.COM,LM,128,22,22,0,0,0,0,1,0,1,2,1,-22.976,16,0,12.95,12.95,LEGIT
TMA.COM,KR,117,17,17,0,0,1,0,0,0,2,2,0,-43.36,11,1,31.08,31.08,LEGIT
TMA.COM,CO,672,16,16,0,0,0,1,1,0,1,2,1,-45.52,17,0,12.95,12.95,LEGIT
DYIH.COM,CR,428,14,14,0,0,0,1,0,0,1,3,1,41.712,16,0,38.85,38.85,LEGIT
TMA.COM,",O",634,13,13,0,0,0,1,1,0,3,3,1,-2.6,10,4,12.95,12.95,LEGIT
ASKEKRVFA.COM,AO,675,17,17,0,0,1,0,0,0,1,3,0,-1.112,8,0,38.85,38.85,LEGIT
TMA.COM,AO,675,0,0,0,0,1,0,0,0,2,3,1,-3.272,8,0,12.95,12.95,LEGIT
NHG.COM,PO,614,15,15,0,0,1,1,0,0,1,2,1,-25.928,9,9,38.85,38.85,LEGIT
XOSOP.COM,KR,103,22,22,0,0,0,1,1,0,1,3,0,13.112,21,0,49.95,49.95,LEGIT
XOSOP.COM,MO,685,10,10,1,0,0,0,0,0,1,4,1,-30.728,9,1,38.85,38.85,LEGIT
XOSOP.COM,KAO,688,10,10,0,0,0,0,0,0,1,2,0,39.936,19,1,12.95,12.95,LEGIT
TMA.COM,YO,151,20,20,0,0,1,0,0,0,1,3,0,36.512,8,0,38.85,38.85,LEGIT
NEKSXUK.NET,LO,398,5,5,0,0,0,0,0,0,1,2,1,-21.824,21,0,12.95,12.95,LEGIT
XOSOP.COM,LM,127,13,13,0,0,1,0,1,0,2,3,1,19.544,12,0,38.85,38.85,LEGIT
TMA.COM,ROK,655,16,16,0,0,1,1,1,0,2,2,1,28.152,6,2,38.85,38.85,LEGIT
VUHZRNB.COM,NAO,166,21,21,0,0,0,0,1,0,1,1,0,45.192,22,0,38.85,38.85,LEGIT
VUHZRNB.COM,SO,693,10,10,0,0,0,0,1,0,1,2,0,26.424,20,0,38.85,38.85,LEGIT
XOSOP.COM,KR,102,17,17,1,0,0,1,0,0,1,2,1,-1.256,22,0,10.36,10.36,LEGIT
CQFYBL.COM,MV,369,12,12,0,0,1,0,0,0,1,3,0,23.416,8,0,10.36,10.36,LEGIT
BRZWCURTY.NET,",O",634,10,10,0,0,1,1,0,0,1,3,0,11.24,10,0,38.85,38.85,LEGIT
TCOUAUPYD.COM,AAO,687,14,14,0,0,1,0,0,0,2,3,0,-61.776,19,0,12.95,12.95,LEGIT
OKWOPBQTDMNABWA.COM,KR,114,0,0,1,0,1,1,0,0,1,3,0,24.32,9,0,12.95,12.95,LEGIT
TMA.COM,MO,685,17,17,0,0,1,1,0,0,1,3,1,-23.16,23,0,12.95,12.95,LEGIT
PG.EDU,MV,369,11,11,0,0,0,1,0,0,1,3,0,32.448,15,1,38.85,38.85,LEGIT
TCN.COM,BO,308,9,9,0,0,1,1,1,0,1,3,0,15.256,25,0,38.85,38.85,LEGIT
XOSOP.COM,OO,644,17,17,0,0,0,0,0,0,1,3,1,33.92,10,0,11.01,11.01,LEGIT
TMA.COM,PO,614,11,11,0,0,0,0,0,0,1,3,1,2.608,10,0,11.01,11.01,LEGIT
NEKSXUK.NET,CR,428,12,12,0,0,1,0,0,0,1,1,1,0.832,12,4,12.95,12.95,LEGIT
GBMGOV.COM,CO,672,11,11,0,0,0,1,1,0,1,1,1,23.784,11,0,25.9,25.9,LEGIT
POQGGHP.COM,SK,355,11,11,0,0,1,1,0,0,2,3,1,10.176,8,0,38.85,38.85,LEGIT
TMA.COM,TAO,647,18,18,0,0,1,1,1,0,2,3,0,-36.928,10,4,38.85,38.85,LEGIT
XOSOP.COM,MV,369,13,13,1,0,0,0,0,0,1,3,0,30.728,19,0,38.85,38.85,LEGIT
TMA.COM,MO,685,7,7,0,0,1,1,1,1,2,3,1,-1.664,9,9,38.85,38.85,LEGIT
PDCBTUAQ.NET,ROA,385,13,13,0,1,1,0,0,0,2,3,0,44.184,20,0,12.95,12.95,LEGIT
XOSOP.COM,NAO,166,18,18,0,0,1,1,1,0,1,2,0,17.976,9,4,44.85,44.85,LEGIT
XOSOP.COM,KR,122,19,19,0,0,0,0,0,0,1,4,1,50.648,21,4,0,0,FRAUD
ASXVMGYRUFHYFV.COM,VO,602,16,16,0,0,0,1,1,0,1,2,0,0.048,24,0,38.85,38.85,LEGIT
TMA.COM,KR,124,15,15,0,0,0,1,1,0,1,3,0,14.6,9,0,49.95,49.95,LEGIT
VUHZRNB.COM,K,683,15,15,0,0,1,1,0,0,1,2,1,3.696,8,0,38.85,38.85,LEGIT
TMA.COM,LO,398,11,11,0,0,0,0,0,0,1,3,0,-1.832,24,0,38.85,38.85,LEGIT
TMA.COM,KR,112,10,10,0,0,1,1,0,0,2,3,0,28.224,17,0,49.95,49.95,LEGIT
TCN.COM,KR,107,16,16,0,0,0,0,1,0,1,3,0,46.472,18,0,12.95,12.95,LEGIT
DBPKHCQYH.NET,MV,369,20,20,0,0,1,0,0,0,1,2,0,37.544,8,0,34.95,34.95,LEGIT
TMA.COM,MO,685,20,20,0,0,1,1,1,0,1,3,0,5.664,10,0,12.95,12.95,LEGIT
ACYTF.COM,ROK,655,19,19,0,0,0,0,0,0,1,4,0,44.136,8,0,12.95,12.95,LEGIT
XOSOP.COM,OO,644,11,11,0,0,0,1,0,0,1,3,1,-18.312,19,0,12.95,12.95,LEGIT
BRZWCURTY.NET,KR,125,16,16,0,0,0,1,1,0,1,2,0,-8.44,20,0,10.36,10.36,LEGIT
XOSOP.COM,AR,649,7,7,0,0,0,0,0,0,1,3,1,15.336,18,2,12.95,12.95,LEGIT
TAWMATET.NET,PO,614,20,20,0,0,1,1,0,0,1,0,0,18.88,21,0,31.08,31.08,LEGIT
BRZWCURTY.NET,VO,602,16,16,0,0,1,1,1,0,1,3,0,-5.808,11,0,38.85,38.85,LEGIT
EVCLR.RR.COM,KR,106,12,12,0,0,1,0,0,0,3,3,1,-62.288,9,9,11.01,11.01,LEGIT
XOSOP.COM,NO,630,10,10,0,0,1,0,0,1,2,3,1,20.76,7,0,11.01,11.01,LEGIT
XOSOP.COM,ROM,430,12,12,0,0,0,1,0,0,1,3,0,39.392,24,0,38.85,38.85,LEGIT
TMA.COM,MO,685,18,18,0,0,1,0,0,0,1,2,0,21.24,9,9,12.95,12.95,LEGIT
XOSOP.COM,MO,685,15,15,0,0,1,1,1,0,1,3,0,12.808,28,0,25.9,25.9,LEGIT
VUHZRNB.COM,AAO,687,23,23,0,0,0,0,0,0,1,4,0,16.816,9,0,12.95,12.95,LEGIT
TMA.COM,AO,675,3,3,0,0,1,1,1,0,2,3,0,-67.224,10,1,12.95,12.95,LEGIT
TCN.COM,ROK,655,20,20,0,0,0,1,1,0,1,3,1,-41.472,15,4,49.95,49.95,LEGIT
XZXDQOGHY.NET,",O",634,16,16,0,0,0,0,0,0,1,3,1,-34.696,23,0,49.95,49.95,LEGIT
BWT.NET,AO,675,20,20,0,0,0,1,0,0,2,3,0,41.776,18,0,49.95,49.95,LEGIT
BWT.NET,NAO,166,13,13,0,0,0,1,1,0,1,3,0,37.864,16,2,12.95,12.95,LEGIT
TMA.COM,EAO,648,19,19,0,0,0,1,1,0,2,3,0,-6.792,16,0,12.95,12.95,LEGIT
QGFALMCP.RR.COM,UBAO,669,16,16,0,0,0,1,1,0,1,2,0,29.248,13,0,39.96,39.96,LEGIT
VUHZRNB.COM,KAO,688,20,20,0,0,1,0,0,0,2,2,0,39.712,11,2,12.95,12.95,LEGIT
SWTQQNW.COM,ROM,430,10,10,0,0,1,0,0,0,1,2,1,-6.464,7,2,12.95,12.95,LEGIT
EAYROLLTBU.COM,PO,614,17,17,0,0,0,0,0,0,1,3,1,1.176,26,0,38.85,38.85,LEGIT
XZXDQOGHY.NET,TO,625,17,17,0,0,1,0,0,0,2,3,0,29.632,12,0,25.9,25.9,LEGIT
XOSOP.COM,TAO,647,21,21,0,0,0,1,0,0,1,3,1,19.152,21,3,38.85,38.85,LEGIT
XOSOP.COM,LM,127,21,21,0,0,0,1,1,0,1,3,0,15.984,15,0,12.95,12.95,LEGIT
XOSOP.COM,TAO,647,22,22,1,0,0,0,1,0,1,3,0,55.504,16,0,12.95,12.95,LEGIT
WCZYDDH.COM,NAO,166,16,16,1,0,1,0,0,0,1,3,1,-11.936,9,9,12.95,12.95,LEGIT
QVNPUIZEJT.COM,MO,685,13,12,0,0,1,0,0,0,1,3,0,12.144,6,1,12.95,12.95,LEGIT
GDRSXIIKGYTX.COM,EAO,648,10,10,0,0,1,1,1,0,1,3,1,0.624,7,0,38.85,38.85,LEGIT
BRZWCURTY.NET,CO,672,16,16,1,0,1,0,1,0,2,2,0,38.416,12,4,20.72,20.72,LEGIT
VUHZRNB.COM,MO,685,9,9,0,0,1,0,0,0,1,3,1,29.28,19,0,11.01,11.01,LEGIT
TCN.COM,EAO,648,11,11,0,0,1,1,0,0,2,3,1,5.448,7,0,38.85,38.85,LEGIT
QZQGJNOH.ATT.NET,KR,103,10,10,0,0,1,1,1,0,1,0,0,-17.664,9,9,12.95,12.95,LEGIT
TMA.COM,TAO,647,14,14,0,0,0,1,1,0,2,3,0,29.824,16,0,10.36,10.36,LEGIT
CQP.RR.COM,MO,685,17,17,0,0,0,0,0,0,1,4,0,27.448,6,0,12.95,12.95,LEGIT
